Cluster number;Age of head of household;Has a computer;Has air conditioner;Has animal-drawn cart;Has bank account;Has bicycle;Has boat with a motor;Has car/truck;Has electricity;Has mobile telephone;Has mosquito bed net for sleeping;Has motorcycle/scooter;Has radio;Has refrigerator;Has television;Main floor material;Main roof material;Main wall material;Number of de facto members;Number of household members;Number of mosquito bed nets;Number of rooms used for sleeping;Owns cattle;Owns chickens/poultry;Owns cows/ bulls;Owns goats;Owns horses/ donkeys/ mules;Owns land usable for agriculture;Sex of head of household;Source of drinking water;Type of cooking fuel;Type of place of residence;Type of toilet facility;Wealth index for urban/rural;Has solar panel;Has a generator;Has plows;Has a tractor;Has a tiller;Motorized seed drill;Age of household head;Are there ways to avoid getting malaria;Births in last five years;Daughters who have died;Education in single years;Educational attainment;Frequency of listening to radio;Frequency of reading newspaper or magazine;Frequency of using internet last month;Frequency of watching television;Highest educational level;Literacy;Owns a mobile telephone;Respondent slept under mosquito bed net;Sex of household head;Sons who have died;Time to get to water source;Total children ever born;Use of internet;Component1;Social Vulnerability;Social Vulnerability  Unweighted;geometry
84;54.96153846;0;0;0.653846154;0.269230769;0.884615385;0;0.038461538;0;1;1;0.807692308;0.769230769;0;0.115384615;1.769230769;2.846153846;2.423076923;16.80769231;17.11538462;8.038461538;6.769230769;1.576923077;12.42307692;2.346153846;6.153846154;1.230769231;1;1;2.076923077;8;2;2.115384615;2.576923077;0.961538462;0;0.692307692;0;0;0.346153846;55.97468354;0.924050633;1.012658228;0.544303797;1.708860759;0.493670886;0.632911392;0.025316456;0.050632911;0.265822785;0.35443038;0.151898734;0.481012658;0.898734177;1;0.53164557;7.949367089;5.341772152;0.037974684;-0.595152929;-0.318890547;-1.320888693;POINT (-5.418692537 12.25273875)
85;59.57692308;0;0;0.923076923;0.192307692;0.961538462;0;0.038461538;0;1;1;0.807692308;0.769230769;0;0.346153846;1.076923077;2.461538462;2.538461538;15.84615385;16.15384615;7.807692308;6.076923077;2.615384615;20.88461538;7.730769231;7.653846154;1.192307692;1;1;2.076923077;8;2;2.076923077;2.038461538;0.923076923;0.038461538;0.923076923;0.038461538;0;0.230769231;60.92857143;0.916666667;0.857142857;0.380952381;1.55952381;0.5;0.547619048;0;0.083333333;0.44047619;0.357142857;0.142857143;0.488095238;0.80952381;1;0.369047619;4.583333333;3.666666667;0.035714286;-0.590173427;-0.281497438;-0.44647414;POINT (-5.655158472 12.72471408)
86;45.76;0.24;0.04;0;0.52;0.4;0;0.08;0.8;1;0.96;0.84;0.8;0.24;0.76;2.92;3;3;7.8;8.52;4.04;3.8;0.08;2.8;0.08;0.32;0.08;0.04;1.04;1.48;7.24;1;1.96;2.6;0.12;0;0;0;0;0;52.01960784;0.941176471;0.666666667;0.117647059;4.980392157;1.509803922;0.941176471;0.039215686;0.960784314;1.392156863;0.960784314;0.764705882;0.803921569;0.823529412;1.019607843;0.117647059;3.333333333;2.254901961;0.392156863;-3.242261652;-1.210778981;-5.033371752;POINT (-5.448714951 12.41749462)
87;46.61538462;0.230769231;0;0.076923077;0.5;0.192307692;0;0.115384615;0.923076923;1;0.961538462;0.961538462;0.846153846;0.269230769;0.769230769;3;3;3;9.423076923;10.26923077;4.384615385;3.576923077;0.153846154;7.730769231;0.230769231;0.538461538;0.076923077;0.076923077;1.115384615;1.461538462;7.307692308;1;2;2.615384615;0.038461538;0;0.038461538;0;0;0;50.16363636;0.872727273;0.727272727;0.127272727;6.236363636;1.963636364;0.818181818;0.018181818;1.072727273;1.290909091;1.236363636;0.909090909;0.763636364;0.836363636;1.163636364;0.254545455;0.636363636;3.072727273;0.472727273;-3.926076322;-1.381389255;-5.064077112;POINT (-5.478095022 12.35664232)
88;56.30769231;0;0;0.692307692;0.346153846;0.769230769;0;0;0;0.961538462;0.923076923;0.846153846;0.653846154;0;0.538461538;2.461538462;2.692307692;2.730769231;18.88461538;19;6.384615385;8.461538462;2.153846154;29.15384615;4.269230769;4.038461538;1.192307692;0.961538462;1;2.384615385;7.961538462;2;2;3.769230769;0.846153846;0;0.730769231;0;0;0.153846154;60.35555556;0.855555556;1.1;0.277777778;2.144444444;0.677777778;1.166666667;0;0.1;0.844444444;0.477777778;0.3;0.566666667;0.688888889;1;0.366666667;7.533333333;3.744444444;0.166666667;-0.972197628;-0.425169749;-1.289798263;POINT (-8.264458974 11.12481754)
89;53.86956522;0;0;0.565217391;0.130434783;0.695652174;0;0.043478261;0.086956522;0.956521739;1;0.913043478;0.695652174;0.217391304;0.782608696;2.304347826;2.913043478;2.739130435;20.39130435;20.39130435;5.913043478;7.565217391;4.652173913;14.2173913;9.043478261;2.826086957;0.652173913;0.869565217;1.043478261;2;8;2;2.043478261;4.260869565;1;0.043478261;0.565217391;0.043478261;0;0.130434783;59.53191489;0.893617021;0.968085106;0.255319149;1.159574468;0.361702128;1.340425532;0.021276596;0.031914894;1.180851064;0.234042553;0.127659574;0.478723404;0.553191489;1.010638298;0.478723404;8.574468085;3.989361702;0.14893617;-0.620925219;-0.318544792;-0.949649209;POINT (-8.116866285 10.69561717)
90;47.65384615;0;0;0.5;0;0.884615385;0;0;0;0.884615385;0.923076923;0.807692308;0.692307692;0;0.5;2.153846154;2.230769231;2.653846154;11.92307692;12.23076923;4.269230769;4.730769231;2.423076923;9.923076923;6.653846154;2.346153846;0.961538462;0.923076923;1;2.461538462;7.884615385;2;2.153846154;3.153846154;0.923076923;0;0.884615385;0;0;0.115384615;50.76271186;0.86440678;1.237288136;0.525423729;1.271186441;0.440677966;0.898305085;0.016949153;0.016949153;1.101694915;0.288135593;0.220338983;0.338983051;0.711864407;1;0.474576271;9.491525424;4.728813559;0.13559322;-0.634785792;-0.269641249;-0.22154372;POINT (-7.84731639 10.86920639)
92;45.52;0;0;0.12;0.04;0.32;0;0;0.04;0.96;1;0.76;0.68;0.04;0.64;2.92;3;2.72;6.08;6.64;4.84;2.64;1.52;8.2;2.04;1.52;0.4;0.2;1.2;2.32;7.8;2;2;4.76;0.84;0.04;0.12;0;0;0.04;44.51612903;1;0.806451613;0.193548387;3.225806452;1.064516129;0.967741935;0.129032258;0.193548387;1.064516129;0.709677419;0.419354839;0.64516129;0.967741935;1.129032258;0.290322581;3.870967742;2.870967742;0.096774194;-1.359519956;-0.480460093;-1.363325807;POINT (-4.78849952 12.17194792)
93;57.15384615;0;0;0.769230769;0.038461538;0.769230769;0;0;0;0.923076923;1;0.692307692;0.730769231;0;0.230769231;2.307692308;2.346153846;1.923076923;13.03846154;13.38461538;6.423076923;5.846153846;1.115384615;10.92307692;7;6.384615385;1.653846154;0.923076923;1.038461538;2.423076923;8;2;2.038461538;2.5;0.730769231;0;0.846153846;0;0;0;57.55932203;0.898305085;0.983050847;0.423728814;1.169491525;0.355932203;0.576271186;0;0.033898305;0.491525424;0.271186441;0.186440678;0.338983051;0.847457627;1;0.440677966;4.186440678;4.169491525;0.050847458;-0.499684626;-0.29999749;-0.884894182;POINT (-6.314437404 13.23829155)
94;57.23076923;0;0;0.923076923;0.076923077;0.576923077;0;0;0;1;1;0.615384615;0.692307692;0;0.307692308;1.923076923;2.769230769;2.307692308;10;10.15384615;4.846153846;3.384615385;1.538461538;11.53846154;13.15384615;9.884615385;1.461538462;1;1.038461538;2.230769231;7.961538462;2;2.038461538;3.269230769;0.730769231;0;0.884615385;0;0;0.115384615;62.95555556;0.711111111;0.888888889;0.266666667;0.8;0.288888889;0.755555556;0.044444444;0.244444444;0.8;0.177777778;0.155555556;0.444444444;0.644444444;1.022222222;0.244444444;8.333333333;3.577777778;0.088888889;-0.502314981;-0.189914137;-0.119393115;POINT (-5.969658008 13.2678974)
95;52.34615385;0;0;0.538461538;0;0.692307692;0.115384615;0;0;0.923076923;0.961538462;0.653846154;0.807692308;0;0.269230769;1.692307692;1.846153846;3;7.884615385;8;3.346153846;3.153846154;0.923076923;8.923076923;2.192307692;2.807692308;0.884615385;0.769230769;1.153846154;2;8;2;2;2.923076923;1;0;0.653846154;0;0.115384615;0.038461538;56.41463415;1;1.243902439;0.463414634;0.219512195;0.097560976;1.365853659;0;0;0.707317073;0.073170732;0.048780488;0.536585366;0.585365854;1.073170732;0.512195122;8.048780488;4.292682927;0;-0.109859548;-0.166832515;-1.091787115;POINT (-5.661751878 13.82364735)
97;53.80769231;0;0;0.730769231;0.076923077;0.769230769;0;0;0;0.884615385;1;0.730769231;0.769230769;0.038461538;0.230769231;1.692307692;2;2.961538462;6.269230769;6.346153846;3.076923077;2.961538462;1.307692308;10.84615385;2.230769231;4;1.346153846;0.846153846;1.076923077;2.653846154;7.923076923;2;2.038461538;2.615384615;0.846153846;0;0.807692308;0;0;0.038461538;54.83333333;1;1.233333333;0.5;2.4;0.733333333;1.3;0.033333333;0.366666667;0.333333333;0.533333333;0.233333333;0.433333333;0.766666667;1.066666667;0.366666667;4.166666667;4.5;0.133333333;-1.062055261;-0.427615134;-0.935573075;POINT (-5.692235982 13.32815406)
98;50.66666667;0;0;0.666666667;0;0.625;0.041666667;0;0;0.916666667;0.958333333;0.708333333;0.583333333;0;0.291666667;2.416666667;2.416666667;1.833333333;9.541666667;9.875;4.416666667;4.25;0.583333333;7.416666667;1.583333333;0.041666667;1.083333333;0.958333333;1.041666667;2.291666667;8;2;2.041666667;2.875;0.791666667;0;0.75;0;0;0;50.93023256;0.837209302;1.046511628;0.488372093;1.744186047;0.558139535;0.906976744;0.046511628;0;0.418604651;0.418604651;0.11627907;0.139534884;0.720930233;1;0.697674419;4.209302326;4.674418605;0;-0.569138109;-0.276435119;-0.622493446;POINT (-6.099109595 13.6654207)
99;51.84615385;0;0;0.769230769;0.076923077;0.846153846;0;0;0;0.961538462;1;0.730769231;0.923076923;0;0.269230769;1.307692308;1.923076923;2.923076923;6.153846154;6.230769231;3.230769231;2.884615385;1.115384615;6.038461538;2.730769231;2.192307692;1.230769231;0.846153846;1.076923077;2.038461538;7.923076923;2;2.038461538;2.423076923;0.923076923;0;0.730769231;0;0;0.076923077;51.93333333;1;0.966666667;0.066666667;0.8;0.266666667;1.433333333;0;0.1;0.466666667;0.2;0.066666667;0.6;0.8;1.066666667;0.2;12.16666667;2.966666667;0.066666667;-0.376405993;-0.262946471;-0.967253959;POINT (-5.922106765 13.72751089)
100;50.84;0.16;0.16;0.12;0.56;0.44;0.04;0.2;0.92;1;0.96;0.76;0.76;0.32;0.88;3;3;2.92;7.52;8;4.76;4;0.08;7.16;0;0.92;0.04;0.08;1.12;1.84;7.52;1;2;3.04;0;0.04;0;0;0;0;55.61403509;0.912280702;0.385964912;0.087719298;8.368421053;2.596491228;1;0.280701754;1.631578947;1.684210526;1.631578947;1.350877193;0.877192982;0.859649123;1.157894737;0.087719298;5.877192982;1.807017544;0.666666667;-5.12836843;-1.812170475;-6.493512122;POINT (-6.289479487 13.41952927)
101;56.92592593;0.259259259;0.111111111;0.111111111;0.407407407;0.444444444;0;0.148148148;0.814814815;1;0.925925926;0.703703704;0.740740741;0.296296296;0.851851852;2.925925926;2.925925926;2.925925926;9;9.703703704;4.851851852;3.555555556;0.111111111;3.555555556;0;0.185185185;0.074074074;0.111111111;1.185185185;1.333333333;7.555555556;1;1.777777778;2.777777778;0.111111111;0;0;0.037037037;0.037037037;0;56.75;0.903846154;0.403846154;0.115384615;6.596153846;2.038461538;1.096153846;0.307692308;1.384615385;1.692307692;1.326923077;1.076923077;0.769230769;0.769230769;1.076923077;0.173076923;1.346153846;2.403846154;0.557692308;-4.217842882;-1.499759348;-5.591511439;POINT (-6.260186653 13.44155042)
102;54.32;0.2;0.12;0.08;0.32;0.44;0;0.24;1;1;1;0.88;0.68;0.32;0.92;3;2.88;3;13.32;13.8;6.4;3.96;0.08;2.4;0.12;0.52;0.16;0.28;1.08;1.4;7.76;1;1.88;2.88;0;0;0.04;0;0;0;56.11842105;0.855263158;0.578947368;0.184210526;5.894736842;1.934210526;1.039473684;0.184210526;1.171052632;1.684210526;1.276315789;1.092105263;0.736842105;0.644736842;1.013157895;0.157894737;3.881578947;2.355263158;0.526315789;-4.179993119;-1.539856311;-6.068944624;POINT (-6.248109629 13.43722339)
103;58.15384615;0;0.038461538;1;0.076923077;0.923076923;0;0;0;0.961538462;1;0.961538462;0.846153846;0;0.538461538;2.461538462;2.846153846;1.730769231;19.61538462;20.11538462;8.884615385;8.884615385;1.5;13.84615385;5.230769231;12.30769231;2.076923077;0.961538462;1.038461538;2.384615385;8;2;2;3.307692308;0.884615385;0;1;0;0;0.192307692;58.89690722;0.948453608;1.030927835;0.453608247;1.340206186;0.443298969;1.298969072;0.020618557;0.216494845;0.742268041;0.309278351;0.175257732;0.391752577;0.886597938;1.010309278;0.422680412;6.041237113;4.824742268;0.103092784;-0.667125051;-0.380308301;-1.089654603;POINT (-6.895971088 12.9152853)
104;54.26923077;0;0;0.769230769;0.153846154;0.884615385;0;0;0;1;1;0.846153846;0.961538462;0.038461538;0.769230769;2.307692308;2.653846154;1.884615385;13.38461538;13.80769231;7.730769231;6.769230769;2.769230769;14.92307692;4.384615385;10;0.538461538;0.923076923;1;2.269230769;8;2;2;3.230769231;0.961538462;0;0.923076923;0;0;0.230769231;58.44262295;0.93442623;0.901639344;0.295081967;1.459016393;0.459016393;1.114754098;0.032786885;0.032786885;0.721311475;0.344262295;0.196721311;0.409836066;0.901639344;1;0.409836066;4.639344262;4.213114754;0.016393443;-0.560212832;-0.341200618;-1.022926496;POINT (-6.444297894 12.7416302)
105;50.92307692;0;0;0.884615385;0.038461538;0.961538462;0;0.038461538;0;0.961538462;1;1;0.923076923;0;0.307692308;1.769230769;2.769230769;2.961538462;9.269230769;9.269230769;4.769230769;4.730769231;2.653846154;13.80769231;4.576923077;8.961538462;1.769230769;1;1;2.153846154;8;2;2;3.038461538;1;0.038461538;0.923076923;0.038461538;0;0;51.09803922;0.980392157;1.31372549;0.333333333;0.431372549;0.176470588;1.470588235;0;0;0.843137255;0.117647059;0.098039216;0.274509804;0.666666667;1;0.392156863;7.745098039;4.039215686;0.019607843;-0.219420648;-0.17451629;-0.128913235;POINT (-5.986028472 12.9197703)
106;55.65384615;0.038461538;0;0.846153846;0.038461538;0.923076923;0.038461538;0.038461538;0;1;1;0.769230769;0.884615385;0.038461538;0.307692308;2.769230769;3;2.923076923;7.423076923;7.5;4.153846154;3.538461538;3.115384615;14.30769231;2.961538462;1.923076923;1.615384615;0.884615385;1.153846154;2.269230769;7.615384615;2;2.038461538;4.346153846;0.961538462;0;0.807692308;0.076923077;0.038461538;0.038461538;60.91666667;1;0.861111111;0.388888889;2.555555556;0.833333333;1.25;0.166666667;0.388888889;1.166666667;0.611111111;0.5;0.722222222;0.805555556;1.166666667;0.305555556;5.833333333;3.694444444;0.166666667;-1.343518395;-0.561357704;-1.72255676;POINT (-5.562609842 12.93090327)
107;45.30769231;0;0.038461538;0.692307692;0.153846154;0.846153846;0.038461538;0;0;0.769230769;1;0.615384615;0.884615385;0;0.038461538;1.769230769;2.538461538;3;5.769230769;5.769230769;2.961538462;3.307692308;0.807692308;8.576923077;2.346153846;5.307692308;0.846153846;0.807692308;1.076923077;2.653846154;7.923076923;2;2;2.615384615;0.923076923;0;0.730769231;0;0;0;47.06896552;0.965517241;1.103448276;0.275862069;0.827586207;0.24137931;1.655172414;0.137931034;0.068965517;0.103448276;0.172413793;0.137931034;0.24137931;0.724137931;1.068965517;0.551724138;3.793103448;3.275862069;0.034482759;-0.360750792;-0.196062818;-0.264508199;POINT (-6.353350805 12.61117304)
108;53.69230769;0;0;1;0.038461538;1;0;0;0;0.961538462;1;0.692307692;0.730769231;0;0.230769231;1.307692308;1.538461538;2.692307692;11.03846154;11.11538462;4.923076923;4.769230769;3.076923077;16.5;3.038461538;8.538461538;1.538461538;1;1;2.769230769;7.692307692;2;2.038461538;2.038461538;0.807692308;0;0.961538462;0.038461538;0;0.038461538;56.05882353;0.960784314;1.274509804;0.392156863;0.607843137;0.196078431;0.862745098;0.039215686;0.039215686;0.411764706;0.137254902;0.098039216;0.411764706;0.745098039;1;0.294117647;4.607843137;4.31372549;0.058823529;-0.300570007;-0.204470781;-0.031581572;POINT (-5.219178962 13.16372115)
109;53.96153846;0;0;0.346153846;0;0.807692308;0.038461538;0;0.269230769;0.961538462;0.923076923;0.615384615;0.769230769;0;0.653846154;1.923076923;1.807692308;1.846153846;17.26923077;17.73076923;7.423076923;5.538461538;0.076923077;9.346153846;0.153846154;0.076923077;0.807692308;0.769230769;1.153846154;2;8;2;2.076923077;3.269230769;0.846153846;0;0.153846154;0.076923077;0.076923077;0;59.84782609;0.847826087;1.02173913;0.52173913;0.586956522;0.195652174;0.804347826;0.02173913;0.336956522;0.847826087;0.163043478;0.076086957;0.532608696;0.706521739;1.043478261;0.608695652;6.173913043;4.423913043;0.184782609;-0.780534196;-0.34351593;-1.342313707;POINT (-5.680108362 13.85591058)
110;54.61538462;0;0;1;0;0.692307692;0;0;0.230769231;0.961538462;1;0.692307692;0.807692308;0;0.538461538;1.692307692;1.230769231;1.692307692;11.19230769;11.65384615;5.961538462;4.5;1.615384615;13.15384615;1.615384615;4.307692308;1.346153846;1;1.153846154;2;7.846153846;2;2;2.730769231;0.807692308;0;0.884615385;0;0;0;56.24137931;0.862068966;1;0.413793103;1.568965517;0.551724138;0.965517241;0.034482759;0.327586207;1.172413793;0.413793103;0.189655172;0.706896552;0.913793103;1.120689655;0.603448276;6.224137931;4.24137931;0.172413793;-1.09807742;-0.426145071;-0.603904271;POINT (-5.250013007 13.58284586)
111;51.92307692;0.038461538;0;0.923076923;0.038461538;0.192307692;0;0;0.192307692;1;1;0.346153846;0.730769231;0;0.346153846;1.538461538;1.230769231;1.692307692;8.769230769;9.076923077;4.307692308;2.769230769;1.269230769;7.461538462;1.692307692;5.846153846;1.038461538;0.961538462;1.038461538;2.038461538;7.961538462;2;2.038461538;2.230769231;0.807692308;0.038461538;0.769230769;0;0;0;49.97560976;0.804878049;1.048780488;0.463414634;1.926829268;0.585365854;0.926829268;0.024390244;0.243902439;0.634146341;0.463414634;0.292682927;0.390243902;0.975609756;1.024390244;0.536585366;9.975609756;5.048780488;0.170731707;-1.154985123;-0.422727608;-0.741374403;POINT (-4.990528464 13.72293494)
113;51.26923077;0;0;0.769230769;0.192307692;0.769230769;0;0.038461538;0.230769231;1;1;0.692307692;0.653846154;0;0.576923077;2.384615385;2.153846154;1.615384615;10.61538462;11.53846154;6.115384615;3.807692308;0.538461538;9.076923077;2.038461538;0;0.961538462;0.769230769;1.038461538;2;7.961538462;2;1.961538462;3.923076923;0.884615385;0;0.5;0;0;0;54.58461538;0.938461538;0.676923077;0.461538462;1.846153846;0.584615385;1.246153846;0;0.030769231;1.076923077;0.4;0.246153846;0.338461538;0.907692308;1.030769231;0.4;14.44615385;3.476923077;0.046153846;-0.928803256;-0.438385318;-1.27017422;POINT (-5.943179747 14.28542479)
114;46.84615385;0;0;0.346153846;0.346153846;0.807692308;0;0.038461538;0.615384615;1;0.961538462;0.576923077;0.538461538;0.153846154;0.538461538;2.307692308;2.384615385;1.923076923;9.730769231;10.19230769;5.461538462;4.038461538;0.384615385;6.346153846;0.076923077;0.307692308;0.192307692;0.615384615;1.076923077;2;7.923076923;2;2;4.153846154;0.269230769;0;0.153846154;0.076923077;0.076923077;0;49.01818182;0.945454545;0.690909091;0.272727273;3.581818182;1.163636364;1.454545455;0.054545455;0.545454545;1.272727273;0.8;0.6;0.672727273;0.945454545;1.072727273;0.345454545;6.272727273;3.254545455;0.272727273;-2.409293663;-0.889104943;-3.187877462;POINT (-6.079466281 14.05286922)
115;55.15384615;0;0;0.538461538;0.076923077;0.769230769;0;0.038461538;0.346153846;0.923076923;1;0.576923077;0.576923077;0;0.5;2.153846154;1.961538462;1.769230769;9.923076923;10.34615385;5.461538462;3.884615385;0.307692308;4.384615385;0.192307692;0.153846154;0.576923077;0.807692308;1.153846154;2;7.846153846;2;2;4;0.730769231;0.038461538;0.346153846;0.076923077;0.269230769;0;59;0.903225806;0.838709677;0.177419355;1.483870968;0.532258065;0.661290323;0;0.290322581;1.112903226;0.370967742;0.193548387;0.548387097;0.85483871;1.14516129;0.322580645;7.14516129;3.096774194;0.129032258;-1.121613184;-0.494250258;-2.422784176;POINT (-5.977598558 14.86627455)
116;57.92307692;0;0;0.807692308;0;0.846153846;0;0;0;0.769230769;0.961538462;0.653846154;0.769230769;0;0.153846154;1.615384615;2.384615385;2.423076923;9.153846154;9.384615385;4.038461538;3.692307692;0.846153846;6.461538462;2.423076923;3.807692308;1.346153846;1;1.153846154;2;7.923076923;2;2.192307692;3.115384615;0.846153846;0;0.807692308;0;0;0;54.76923077;0.923076923;1.076923077;0.230769231;0.358974359;0.128205128;0.692307692;0;0.076923077;0.58974359;0.102564103;0.025641026;0.564102564;0.769230769;1.051282051;0.333333333;9.820512821;3.666666667;0.051282051;-0.206779025;-0.177350777;-0.332206115;POINT (-4.99110204 13.26516038)
117;52.2;0;0.04;0.8;0.04;0.88;0.04;0;0;1;1;0.72;0.76;0.04;0.24;1.32;1.64;2.16;11.04;11.04;4.44;3.96;1.76;12.36;5;5.84;1.84;0.96;1;2.36;7.68;2;2.08;2.56;0.92;0.04;0.96;0;0;0.24;52.1372549;0.960784314;0.960784314;0.392156863;1.862745098;0.666666667;1.196078431;0.117647059;0.117647059;0.823529412;0.450980392;0.31372549;0.37254902;0.725490196;1;0.392156863;6.078431373;4.274509804;0.078431373;-0.864683381;-0.395455802;-1.18296883;POINT (-5.091105806 12.62411942)
118;57.26923077;0;0.038461538;0.923076923;0;0.923076923;0;0;0;1;1;0.5;0.961538462;0;0.192307692;1.076923077;1.692307692;2.115384615;9.269230769;9.307692308;3.730769231;3.730769231;1.807692308;7.461538462;3.461538462;5.038461538;2.038461538;0.961538462;1;2.346153846;7.730769231;2;2.076923077;2;0.884615385;0;0.961538462;0;0;0.192307692;58.58823529;0.941176471;1.5;0.176470588;1.029411765;0.382352941;1.529411765;0;0;0.235294118;0.264705882;0.147058824;0.529411765;0.705882353;1;0.235294118;6.470588235;3.941176471;0;-0.40740601;-0.193842073;-0.164273604;POINT (-4.844437023 13.0281139)
119;44.26923077;0;0;0.846153846;0;0.884615385;0;0;0;1;0.961538462;0.730769231;0.807692308;0;0.153846154;1.769230769;2.153846154;2.538461538;7.192307692;7.346153846;2.923076923;2.692307692;0.730769231;6.384615385;2.230769231;3.769230769;1.461538462;0.884615385;1;2.346153846;7.730769231;2;2;2.846153846;0.923076923;0;0.846153846;0.038461538;0;0;47.86111111;1;1.444444444;0.583333333;0.222222222;0.083333333;1.527777778;0;0.055555556;0.527777778;0.055555556;0.027777778;0.611111111;0.611111111;1;0.333333333;3.527777778;4.555555556;0.027777778;-0.13203641;-0.13453459;0.160487676;POINT (-4.604860518 13.37566413)
120;52.07692308;0.038461538;0;0.5;0.192307692;0.384615385;0;0.038461538;0.692307692;1;0.961538462;0.769230769;0.846153846;0.269230769;0.615384615;2.846153846;2.615384615;2.807692308;8.038461538;8.423076923;3.5;2.769230769;0.269230769;4.846153846;5.538461538;3.115384615;0.615384615;0.615384615;1.153846154;1.923076923;7.692307692;1;2.038461538;1.615384615;0.269230769;0.038461538;0.461538462;0;0;0.076923077;54.25;1;1;0.090909091;4.727272727;1.522727273;1.181818182;0.227272727;0.863636364;1.340909091;1;0.795454545;0.795454545;0.659090909;1.113636364;0.068181818;4.818181818;3;0.363636364;-3.097150992;-1.077604124;-3.513309846;POINT (-4.880699113 13.3194091)
121;49.88461538;0;0;0.807692308;0;0.807692308;0;0;0;0.807692308;0.923076923;0.230769231;0.653846154;0;0.076923077;1.076923077;1.461538462;2.269230769;6.923076923;6.961538462;2.692307692;3.115384615;0.269230769;6.076923077;2.269230769;4.192307692;1.615384615;0.923076923;1.115384615;2.615384615;7.769230769;2;2.538461538;1.961538462;0.769230769;0;0.769230769;0;0;0.115384615;47.61764706;0.852941176;0.823529412;0.264705882;0.764705882;0.264705882;1.176470588;0.088235294;0;0.441176471;0.176470588;0.088235294;0.264705882;0.794117647;1.117647059;0.235294118;10.52941176;4.205882353;0;-0.274928319;-0.075936411;0.376517891;POINT (-4.434328148 13.55224365)
123;50.92307692;0;0;0.730769231;0.038461538;0.692307692;0;0;0;0.961538462;0.923076923;0.538461538;0.692307692;0;0.115384615;1.538461538;2;2.269230769;7.884615385;8.038461538;2.692307692;3.076923077;1.038461538;7;2.961538462;4.923076923;1.346153846;0.884615385;1.038461538;2.230769231;7.730769231;2;2.115384615;2.807692308;0.846153846;0;0.769230769;0;0;0.038461538;50.31707317;0.87804878;0.926829268;0.195121951;0.463414634;0.146341463;0.585365854;0;0.024390244;0.390243902;0.12195122;0.024390244;0.536585366;0.658536585;1.048780488;0.170731707;9.487804878;3.048780488;0.024390244;-0.183771367;-0.102238365;-0.208892742;POINT (-4.229473397 13.81753496)
124;47.64;0.24;0.16;0.04;0.76;0.4;0;0.28;1;1;1;0.64;0.68;0.6;0.92;2.52;2.76;2.88;6.4;7.16;3.72;3.36;0.12;7.64;1.88;2.08;0;0.28;1.04;1.2;7.44;2;1.96;5;0.04;0;0;0;0.04;0;53.76744186;0.88372093;0.76744186;0.093023256;9.069767442;2.790697674;1.627906977;0.418604651;2.069767442;1.860465116;1.697674419;1.372093023;0.930232558;0.720930233;1.023255814;0.069767442;0;2.069767442;0.720930233;-5.576216699;-1.978757135;-7.756451061;POINT (-4.116868775 14.53382099)
126;42.11538462;0;0;0.884615385;0;0;0;0;0.038461538;0.884615385;1;0.423076923;0.461538462;0;0.384615385;1;1;2.769230769;5.576923077;5.615384615;3.076923077;2.692307692;4.576923077;5.615384615;8.153846154;3.038461538;1.5;0.961538462;1.038461538;2.038461538;8;2;2.038461538;1.346153846;0.884615385;0;0.807692308;0;0;0;41.32142857;0.892857143;0.857142857;0.571428571;0.642857143;0.214285714;0.178571429;0;0;0.357142857;0.142857143;0.071428571;0.357142857;0.821428571;1;0.964285714;18.92857143;4.321428571;0.071428571;-0.328262877;-0.154847209;-0.021546191;POINT (-3.834276062 15.44899899)
127;51.92307692;0;0;0.576923077;0.038461538;0.461538462;0;0.038461538;0;0.923076923;0.961538462;0.576923077;0.576923077;0.038461538;0.192307692;1.692307692;1.269230769;2.769230769;10.61538462;10.88461538;5;3.307692308;4.730769231;15.61538462;4.923076923;7.230769231;0.807692308;0.961538462;1.153846154;2.5;7.846153846;2;2.038461538;2.846153846;0.730769231;0.038461538;0.615384615;0;0;0;54.42553191;0.85106383;1;0.404255319;0.872340426;0.276595745;0.914893617;0.042553191;0.361702128;0.85106383;0.191489362;0.14893617;0.595744681;0.744680851;1.063829787;0.361702128;4.021276596;4.255319149;0.127659574;-0.587627846;-0.267566681;-0.889083598;POINT (-4.153489932 14.24434244)
128;52.61538462;0.115384615;0.038461538;0.038461538;0.538461538;0.269230769;0;0.269230769;1;1;0.923076923;0.653846154;0.730769231;0.461538462;0.884615385;2.692307692;2.076923077;2.692307692;10.57692308;10.96153846;4.923076923;4.230769231;0.076923077;2.961538462;0.076923077;0.038461538;0.076923077;0.115384615;1.346153846;1.384615385;7.115384615;1;1.846153846;2.923076923;0.076923077;0;0;0;0;0;53.79104478;0.865671642;0.492537313;0.044776119;5.104477612;1.656716418;1.328358209;0.223880597;1.552238806;1.865671642;1.149253731;0.805970149;0.820895522;0.656716418;1.462686567;0.104477612;2.208955224;2.208955224;0.582089552;-3.995263995;-1.414630787;-5.620584865;POINT (-4.191217988 14.48699227)
